,pH_level,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,Cr2O3,TiO2,MnO,P2O5,SrO,BaO,Ag,Al,As,B,Ba,Be,Bi,Ca,Cd,Co,Cr,Cu,Fe,Ga,Hg,K,La,Li,Mg,Mn,Mo,Na,Ni,P,Pb,S,Sb,Sc,Sr,Th,Ti,Tl,U,V,W,Zn,Akermanite,Albite,Aluminium_oxide_hydroxide,Anhydrite,Aragonite,Augite,Biotite,Birnessite,Calcite,Clinochlore,Cuspidine,Diaspore,Dickite,Gehlenite,Goethite,Haematite,Illite,Kaolinite,Langite,Linnaeite,Magnesioferrite,Melilite,Merwinite,Microcline,Mullite,Muscovite,Nitratine,Orthoclase,Orthopyroxene,Periclase,Phengite,Pigeonite,Pseudowollastonite,Quartz,Spinel,Staurolite,Valentinite
Penicuik_1,8.048,70.8,10.55,4.44,2.56,0.21,0.17,1.78,0.009,0.57,0.18,0.09,0.01,0.09,2.00E-05,2.90E-05,0.0004,0.001,0.045,5.00E-05,0.0002,0.000186,7.00E-05,0.0008,12,0.003,0.000294,0.001,0.0001,4.00E-06,0.001,0.001,6.00E-06,0.141,0.0001,1.00E-06,0.0024,0.039,0.0028,3.00E-06,0.0002,0.0004,0.0026,0.002,1.00E-06,0.001,0.001,0.0013,0.001,0.0257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Penicuik_2,8.075,48,13.05,4.06,9.01,0.7,0.67,1.26,0.015,0.78,0.1,0.16,0.01,0.07,3.00E-05,0.000127,0.0009,0.001,0.044,0.00014,0.0002,0.000634,8.00E-05,0.0014,32,0.0086,0.000236,0.001,0.0001,9.00E-06,0.001,0.002,2.60E-05,0.0695,0.0001,5.00E-06,0.0035,0.063,0.0096,5.00E-06,0.0002,0.0004,0.0078,0.002,3.00E-06,0.001,0.001,0.004,0.001,0.0337,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Penicuik_3,7.024,58.3,11.5,4.13,1.15,0.67,0.74,1.4,0.014,0.75,0.12,0.23,0.01,0.06,2.00E-05,0.000102,0.0008,0.001,0.026,0.0001,0.0002,7.30E-05,5.00E-05,0.0013,28,0.0035,0.000236,0.001,0.0001,1.20E-05,0.001,0.001,2.50E-05,0.0879,0.0001,1.00E-06,0.0028,0.091,0.0066,8.00E-06,0.0002,0.0003,0.0025,0.002,2.00E-06,0.001,0.001,0.0037,0.001,0.0136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Penicuik_4,5.474,54.7,11,5.07,0.74,0.72,1.1,1.09,0.015,0.89,0.13,0.19,0.01,0.04,2.00E-05,0.00016,0.0009,0.001,0.008,7.00E-05,0.0002,4.30E-05,5.00E-05,0.0013,36,0.0021,0.000302,0.001,0.0001,5.00E-06,0.001,0.002,2.70E-05,0.0953,0.0001,1.00E-06,0.0023,0.055,0.0066,7.00E-06,0.0002,0.0001,0.0018,0.002,2.00E-06,0.001,0.001,0.0051,0.001,0.0141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Penicuik_5,7.222,32.2,8.4,3.1,14.2,0.56,0.49,0.78,0.011,0.61,0.06,0.42,0.02,0.03,3.00E-05,9.10E-05,0.0007,0.001,0.018,0.00019,0.0002,0.00097,0.00015,0.0013,22,0.0074,0.000175,0.001,0.0001,8.00E-06,0.001,0.001,2.20E-05,0.0449,0.0001,4.00E-06,0.0077,0.177,0.0133,1.20E-05,0.0002,0.0001,0.0132,0.002,2.00E-06,0.001,0.001,0.0033,0.001,0.0342,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Carnforth_1,9.008,39,9,22,23,1,0.4,1.3,0.05,0.6,0.7,0.1,0.034,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
Carnforth_2,10.175,34.2,9.85,1.13,36.7,1.48,0.29,0.42,0.004,0.75,0.24,0.04,0.04,0.16,2.00E-05,0.000496,0.0003,0.005,0.052,0.00128,0.0002,0.00232,5.00E-05,0.0001,0.0006,0.0014,6.40E-05,0.001,0.0001,2.60E-05,0.003,0.005,7.50E-05,0.1835,0.0001,1.00E-05,0.0007,0.013,0.0011,6.00E-05,0.0002,0.0011,0.0372,0.002,2.10E-05,0.001,0.001,0.001,0.001,0.0036,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
Carnforth_3,10.589,36.5,8.34,2.9,28.6,1.35,0.31,0.67,0.003,0.44,0.25,0.06,0.03,0.08,0.00013,0.000363,0.0011,0.006,0.069,0.00084,0.0002,0.00194,0.00027,0.0003,0.0013,0.0053,0.000192,0.001,0.0001,2.60E-05,0.003,0.004,7.10E-05,0.181,0.0001,8.00E-06,0.0008,0.02,0.0212,4.30E-05,0.0016,0.0007,0.0266,0.002,9.00E-06,0.001,0.001,0.0012,0.001,0.0503,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Carnforth_4,9.516,38.9,6.79,1.12,28.1,1.34,0.35,0.56,0.006,0.41,0.23,0.05,0.03,0.11,3.00E-05,0.000295,0.0007,0.004,0.09,0.00086,0.0002,0.00189,6.00E-05,0.0036,0.0014,0.003,7.10E-05,0.001,0.0001,1.70E-05,0.002,0.004,7.30E-05,0.161,0.0001,9.00E-06,0.0006,0.019,0.0071,2.70E-05,0.0002,0.0005,0.0283,0.002,6.00E-06,0.001,0.001,0.0011,0.001,0.012,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Carnforth_5,10.133,30.5,8.3,0.69,35,1.62,0.16,0.29,0.002,0.56,0.12,0.06,0.03,0.08,3.00E-05,0.000413,0.0003,0.004,0.049,0.00114,0.0002,0.00232,5.00E-05,0.0004,0.001,0.0017,4.50E-05,0.001,0.0001,1.20E-05,0.003,0.004,8.90E-05,0.0852,0.0001,7.00E-06,0.0003,0.021,0.0028,8.10E-05,0.0002,0.0008,0.0281,0.002,1.40E-05,0.001,0.001,0.0005,0.001,0.0046,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
Carnforth_6,8.79,43,6,26,17,1,0.5,1.6,0.01,0.3,0.3,0.1,0.025,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Carnforth_7,10.071,30.9,9.46,1.12,35.8,1.11,0.2,0.44,0.003,0.5,0.27,0.02,0.03,0.09,7.00E-05,0.000469,0.0005,0.004,0.073,0.00097,0.0002,0.00237,9.00E-05,0.0002,0.0012,0.0022,7.10E-05,0.001,0.0001,2.20E-05,0.003,0.006,6.10E-05,0.1995,0.0001,1.00E-05,0.0006,0.008,0.01,4.10E-05,0.0003,0.001,0.0334,0.002,1.30E-05,0.001,0.001,0.0007,0.001,0.0171,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Carnforth_8,7.975,86.8,5.72,1.37,0.51,0.5,1.14,1.63,0.006,0.32,0.02,0.08,0.01,0.03,2.00E-05,4.20E-05,0.0004,0.001,0.002,5.00E-05,0.0002,2.20E-05,5.00E-05,0.0003,0.0008,0.0004,7.60E-05,0.001,0.0001,5.00E-06,0.001,0.001,2.10E-05,0.0124,0.0001,4.00E-06,0.0008,0.032,0.0048,4.00E-06,0.0002,0.0001,0.0009,0.002,1.00E-06,0.001,0.001,0.0008,0.001,0.0052,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Barrow_1,9.921,30.7,8.99,1.2,35.7,3.07,0.58,0.43,0.003,0.49,0.58,0.06,0.08,0.34,2.00E-05,0.000469,0.0005,0.003,0.023,0.00103,0.0002,0.00244,5.00E-05,0.0002,0.0013,0.0028,8.40E-05,0.001,0.0001,2.20E-05,0.004,0.007,0.000184,0.436,0.0001,4.00E-05,0.0006,0.022,0.0011,7.00E-05,0.0002,0.0015,0.0701,0.002,1.90E-05,0.001,0.001,0.0018,0.001,0.0024,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Barrow_2,8.85,47.3,10.05,3.99,13.3,1.36,0.73,1.9,0.014,0.59,0.16,0.14,0.02,0.07,2.00E-05,0.000162,0.0015,0.002,0.034,0.00021,0.0002,0.00094,5.00E-05,0.0011,0.0026,0.0044,0.000246,0.001,0.0001,1.40E-05,0.002,0.003,6.10E-05,0.122,0.0001,3.00E-06,0.0029,0.06,0.0061,1.60E-05,0.0003,0.0005,0.0121,0.002,2.00E-06,0.001,0.001,0.0025,0.001,0.0088,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
Barrow_3,7.701,46.2,16.75,7.65,4.88,1.32,1.12,2.79,0.028,1.34,0.35,0.37,0.01,0.05,2.00E-05,0.000148,0.006,0.001,0.013,0.00011,0.0002,0.000335,5.00E-05,0.0031,0.0047,0.0097,0.000498,0.001,0.0001,9.00E-06,0.002,0.004,5.70E-05,0.275,0.0001,2.00E-06,0.006,0.161,0.0014,5.00E-06,0.0005,0.0015,0.006,0.002,1.00E-06,0.001,0.001,0.0039,0.001,0.0057,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Barrow_4,8.295,55.8,8.18,3.2,11.15,1.1,0.8,1.74,0.011,0.51,0.08,0.14,0.01,0.05,2.00E-05,9.40E-05,0.0011,0.001,0.017,7.00E-05,0.0002,0.00081,5.00E-05,0.0009,0.0023,0.0037,0.000202,0.001,0.0001,9.00E-06,0.001,0.002,5.20E-05,0.0621,0.0001,2.00E-06,0.0023,0.056,0.0043,6.00E-06,0.0002,0.0003,0.0094,0.002,1.00E-06,0.001,0.001,0.0021,0.001,0.0068,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0
Barrow_5,8.363,40.3,12.05,3.63,20.6,1.18,0.39,0.99,0.011,0.48,0.38,0.15,0.03,0.36,5.00E-05,0.00027,0.0008,0.002,0.165,0.00058,0.0002,0.00143,0.0001,0.0004,0.0015,0.0032,0.000162,0.001,0.0001,2.20E-05,0.002,0.004,5.80E-05,0.238,0.0001,1.60E-05,0.001,0.056,0.0158,2.40E-05,0.0005,0.0005,0.0253,0.002,5.00E-06,0.001,0.001,0.0011,0.001,0.021,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Barrow_6,8.047,60.8,9.78,4.5,4.32,1.5,0.89,2,0.015,0.51,0.16,0.16,0.01,0.09,7.00E-05,0.000153,0.0012,0.001,0.051,0.00015,0.0002,0.000278,0.00018,0.0009,0.0022,0.0041,0.000267,0.001,0.0001,1.80E-05,0.001,0.002,6.60E-05,0.1185,0.0001,7.00E-06,0.0024,0.065,0.024,9.00E-06,0.0005,0.0003,0.0065,0.002,2.00E-06,0.001,0.001,0.0023,0.001,0.0544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
